place_id,value,time,type,id,device_id
2,0.0,2016-06-14T05:36:49,movement,47890,1210115
2,1.0,2016-06-14T05:47:18,movement,47891,1210115
2,1.0,2016-06-14T05:47:23,movement,47892,1210115
2,1.0,2016-06-14T05:47:24,movement,47893,1210115
2,1.0,2016-06-14T05:47:28,movement,47894,1210115
2,1.0,2016-06-14T05:47:29,movement,47895,1210115
2,1.0,2016-06-14T05:47:33,movement,47896,1210115
2,1.0,2016-06-14T05:47:34,movement,47897,1210115
2,1.0,2016-06-14T05:47:38,movement,47898,1210115
2,1.0,2016-06-14T05:47:40,movement,47899,1210115
2,1.0,2016-06-14T05:47:51,movement,47900,1210115
2,1.0,2016-06-14T05:47:56,movement,47901,1210115
2,1.0,2016-06-14T05:47:57,movement,47902,1210115
2,1.0,2016-06-14T05:48:26,movement,47903,1210115
2,1.0,2016-06-14T05:48:30,movement,47904,1210115
2,1.0,2016-06-14T05:48:31,movement,47905,1210115
2,1.0,2016-06-14T05:48:35,movement,47906,1210115
2,1.0,2016-06-14T05:48:36,movement,47907,1210115
2,1.0,2016-06-14T05:48:44,movement,47908,1210115
2,1.0,2016-06-14T05:48:45,movement,47909,1210115
2,1.0,2016-06-14T05:49:03,movement,47910,1210115
2,1.0,2016-06-14T05:49:10,movement,47912,1210115
2,1.0,2016-06-14T05:49:11,movement,47913,1210115
2,1.0,2016-06-14T05:49:15,movement,47914,1210115
2,1.0,2016-06-14T05:49:16,movement,47915,1210115
2,1.0,2016-06-14T05:49:20,movement,47916,1210115
2,1.0,2016-06-14T05:49:21,movement,47917,1210115
2,1.0,2016-06-14T05:49:27,movement,47918,1210115
2,1.0,2016-06-14T05:49:28,movement,47919,1210115
2,1.0,2016-06-14T05:49:49,movement,47920,1210115
2,1.0,2016-06-14T05:49:50,movement,47921,1210115
2,1.0,2016-06-14T05:50:01,movement,47922,1210115
2,1.0,2016-06-14T05:50:02,movement,47923,1210115
2,1.0,2016-06-14T05:50:06,movement,47924,1210115
2,1.0,2016-06-14T05:50:07,movement,47925,1210115
2,1.0,2016-06-14T05:50:13,movement,47926,1210115
2,1.0,2016-06-14T05:50:14,movement,47927,1210115
2,1.0,2016-06-14T05:50:18,movement,47928,1210115
5,1.0,2016-06-14T05:35:56,movement,47929,1210143
5,1.0,2016-06-14T05:35:57,movement,47930,1210143
5,1.0,2016-06-14T05:36,movement,47931,1210143
5,1.0,2016-06-14T05:36:01,movement,47932,1210143
5,1.0,2016-06-14T05:36:05,movement,47933,1210143
5,1.0,2016-06-14T05:36:06,movement,47934,1210143
5,0.0,2016-06-14T05:40:34,movement,47935,1210143
5,0.0,2016-06-14T05:40:35,movement,47936,1210143
2,0.0,2016-06-14T05:47:11,closed,47937,1210110
2,1.0,2016-06-14T05:47:14,closed,47938,1210110
3,0.0,2016-06-14T05:39:50,closed,47939,1210108
3,0.0,2016-06-14T05:39:51,closed,47940,1210108
3,1.0,2016-06-14T05:40:08,closed,47941,1210108
3,1.0,2016-06-14T05:40:08,closed,47942,1210108
4,0.0,2016-06-14T05:41:43,closed,47943,1210105
4,0.0,2016-06-14T05:41:44,closed,47944,1210105
4,1.0,2016-06-14T05:42:02,closed,47945,1210105
4,1.0,2016-06-14T05:42:03,closed,47946,1210105
5,0.0,2016-06-14T05:36:24,closed,47947,1210111
5,0.0,2016-06-14T05:36:25,closed,47948,1210111
5,1.0,2016-06-14T05:36:28,closed,47949,1210111
2,1.0,2016-06-14T05:50:19,movement,47951,1210115
2,1.0,2016-06-14T05:50:23,movement,47952,1210115
2,1.0,2016-06-14T05:50:24,movement,47953,1210115
2,1.0,2016-06-14T05:50:28,movement,47954,1210115
2,1.0,2016-06-14T05:50:29,movement,47955,1210115
2,1.0,2016-06-14T05:50:34,movement,47956,1210115
2,1.0,2016-06-14T05:50:35,movement,47957,1210115
5,1.0,2016-06-14T05:51:56,movement,47958,1210143
2,0.0,2016-06-14T05:51:54,closed,47959,1210110
2,1.0,2016-06-14T05:51:57,closed,47960,1210110
5,0.0,2016-06-14T05:51:50,closed,47961,1210111
5,1.0,2016-06-14T05:51:53,closed,47962,1210111
5,1.0,2016-06-14T05:51:53,closed,47963,1210111
5,1.0,2016-06-14T05:52:01,movement,47964,1210143
5,1.0,2016-06-14T05:52:02,movement,47965,1210143
5,1.0,2016-06-14T05:52:06,movement,47966,1210143
5,1.0,2016-06-14T05:52:07,movement,47967,1210143
5,1.0,2016-06-14T05:52:30,movement,47969,1210143
5,1.0,2016-06-14T05:52:34,movement,47970,1210143
5,1.0,2016-06-14T05:52:35,movement,47971,1210143
5,1.0,2016-06-14T05:52:40,movement,47972,1210143
5,1.0,2016-06-14T05:52:40,movement,47973,1210143
5,1.0,2016-06-14T05:52:44,movement,47974,1210143
5,1.0,2016-06-14T05:52:46,movement,47975,1210143
5,1.0,2016-06-14T05:52:51,movement,47976,1210143
5,1.0,2016-06-14T05:52:57,movement,47977,1210143
5,1.0,2016-06-14T05:52:58,movement,47978,1210143
5,1.0,2016-06-14T05:53:02,movement,47979,1210143
5,1.0,2016-06-14T05:53:03,movement,47980,1210143
5,1.0,2016-06-14T05:53:11,movement,47981,1210143
5,1.0,2016-06-14T05:53:12,movement,47982,1210143
5,1.0,2016-06-14T05:53:51,movement,47983,1210143
5,1.0,2016-06-14T05:53:52,movement,47984,1210143
5,1.0,2016-06-14T05:53:53,movement,47985,1210143
5,1.0,2016-06-14T05:54:01,movement,47986,1210143
